1	ROUND	2812900122	GIA	3205467961 L	10.04	H	VS1	13.74-13.84*8.54	61.90	57.00	MED to STK	NON	EX	EX	EX	STG	EX	60800	35.27 		EX	CRL1	CRL1	N	B 1	N	N	N	Crystal, Feather	36.50	15.50	40.60	42.50	50.00	75.00	3.50	Faceted
2	ROUND	1811760171	GIA	1199371156 L	10.05	H	VS1	13.66-13.75*8.59	62.70	56.00	MED to STK	NON	EX	EX	EX	NON	EX	60800	10.37 		EX	SPR1	FR1	B_PP	B_PP	N	N	N	Crystal, Needle, Feather	36.50	16.50	40.60	43.00	50.00	75.00	3.50	Faceted
3	ROUND	4678001341	GIA	1169273654 L	13.18	I	VS1	15.28-15.33*9.22	60.20	59.00	MED	NON	EX	EX	EX	STG		46700	19.67 		EX	PP1	PP2	B_PP	B 1	N	N	N	Crystal, Needle	34.00	13.50	40.80	43.00	50.00	80.00	3.50	Faceted
4	ROUND	7813390047	GIA	2207660208 L	10.36	L	VS2	13.82-13.89*8.70	62.80	56.00	MED to STK	NON	EX	EX	EX	NON	EX	18900	9.90 		EX	CRL1	FR1	B 1	B_PP	N	N	N	Crystal, Feather	36.50	16.00	40.80	43.00	50.00	75.00	3.50	Faceted
5	ROUND	1813360031	GIA	5206606625 L	8.03	I	VS2	12.39-12.52*8.05	64.60	57.00	THK	NON	VG	EX	VG	MED		27300	27.82 		EX	CRL1	CRL1	B_PP	B 1	N	N	N	Crystal, Feather, Needle	38.00	17.00	40.40	42.50	50.00	80.00	5.00	Faceted
6	ROUND	6812900106	GIA	3205294869 L	8.03	H	SI1	12.75-12.81*7.98	62.40	58.00	MED to STK	NON	EX	EX	EX	NON	G	23900	-11.49 	UPGRADED COLOR;	EX	FR1	SPR1	N	B 1	N	HL	N	Cloud, Crystal, Feather, Needle	35.00	15.00	41.40	44.00	50.00	80.00	4.00	Faceted
7	ROUND	2812980482	GIA	7208322149 L	8.31	I	SI2	12.90-12.98*8.07	62.40	58.00	MED to STK	NON	EX	EX	EX	FNT		16500	9.24 	UPGRADED COLOR;RED SPOT;	EX	CRL2	FR1	B 1	B 1	SM	N	N	Crystal, Cloud, Cavity, Feather, Needle	33.50	14.00	41.60	44.50	50.00	80.00	4.00	Faceted
8	ROUND	5813360225	GIA	2204641632 L	7.28	K	VVS2	12.29-12.37*7.70	62.40	56.00	STK	NON	EX	EX	EX	MED	EX	19000	22.70 		EX	PP1	PP1	N	B_PP	N	N	N	Needle, Pinpoint	35.50	15.50	40.60	43.00	50.00	80.00	4.00	Faceted
9	ROUND	1812900091	GIA	7202294614 L	7.05	K	VS2	12.15-12.21*7.65	62.80	58.00	MED to STK	NON	EX	EX	EX	STG		17000	31.51 	UPGRADED COLOR;	EX	SPR1	SPR1	B 1	B 1	HL	N	N	Crystal, Needle, Feather	35.00	14.50	41.40	44.00	50.00	80.00	4.00	Faceted
10	ROUND	5812900055	GIA	2208443386 L	7.01	O	VS2	12.06-12.20*7.61	62.80	57.00	MED to STK	NON	EX	EX	VG	MED	VG	11200	22.43 	EXCLUSIVE CLARITY;	EX	SPR1	PP2	B_PP	B 1	N	N	N	Cloud, Crystal, Needle	36.50	16.00	40.80	43.00	50.00	75.00	3.50	Faceted
11	ROUND	2812810202	GIA	7206259085 L	7.29	S	SI2	12.34-12.40*7.63	61.70	58.00	MED to STK	NON	EX	EX	EX	NON	EX	7500	26.57 	EXCLUSIVE COLOR;	EX	SPR1	FR1	B 2	B 1	HL	HL	N	Crystal, Feather, Cloud, Needle	35.00	14.50	40.60	43.00	50.00	75.00	4.00	Faceted
12	ROUND	3812380443	GIA	7198922861 L	6.57	J	IF	11.87-11.97*7.46	62.60	58.00	STK	NON	EX	EX	EX	STG	VG	28000	37.34 		EX	N	N	N	N	N	N	N		35.00	15.00	41.20	44.00	50.00	80.00	4.00	Faceted
13	ROUND	3811510043	GIA	2196223194 L	6.01	E	VS1	11.46-11.62*7.24	62.70	58.00	MED	NON	EX	EX	VG	VST		69700	56.76 	UPGRADED COLOR; UPGRADED CLARITY; 	VG	CRL1	CRL1	B_PP	B 1	N	N	N	Crystal, Feather, Needle	36.50	15.50	41.00	43.50	50.00	80.00	3.50	Faceted
14	ROUND	2812900012	GIA	6201265748 L	6.01	J	VS1	11.57-11.63*7.28	62.70	56.00	STK	NON	EX	EX	EX	STG		23800	39.17 		EX	PP1	PP2	N	B 1	N	N	N	Crystal, Needle	32.50	14.00	41.80	44.50	50.00	80.00	4.00	Faceted
15	ROUND	5811220415	GIA	2198694892	6.78	J	VS1	12.07-12.11*7.51	62.10	56.00	MED to STK	NON	EX	EX	EX	NON	EX	23800	16.36 		EX	SPR1	FR1	B 1	N	N	N	N	Crystal, Needle	36.00	16.00	40.60	42.50	50.00	75.00	3.50	Faceted
