1	ROUND	1815150960	GIA	6212479532 L	10.02	J	VVS2	13.93-13.99*8.44	60.40	59.00	MED to STK	NON	EX	EX	EX	NON	EX	40000	13.29 		EX	SPR1	SPR1	N	N	N	N	N	N	N	N	N	N	N	Needle, Cloud	32.00	13.00	41.20	44.00	50.00	80.00	3.50	Faceted
2	ROUND	1811760171	GIA	1199371156 L	10.05	H	VS1	13.66-13.75*8.60	62.80	56.00	MED to STK	NON	EX	EX	EX	NON	EX	60800	16.67 		EX	SPR1	FR1	B_PP	B_PP	N	N	N	N	N	N	N	N	N	Crystal, Needle, Feather	36.50	16.50	40.60	43.00	50.00	75.00	3.50	Faceted
3	ROUND	4815170384	GIA	3215480063 L	10.05	K	VS1	13.70-13.74*8.61	62.80	56.00	MED	NON	EX	EX	EX	FNT	EX	29000	20.85 		EX	FR1	FR1	B 1	N	N	N	N	N	N	N	N	N	N	Feather, Crystal, Pinpoint	36.50	16.00	40.60	43.00	50.00	75.00	3.50	Faceted
4	ROUND	3815420153	GIA	7211663360 L	10.82	O	VS1	14.03-14.10*8.80	62.60	56.00	MED to STK	NON	EX	EX	EX	FNT	EX	17800	21.74 		EX	SPR1	SPR1	B_PP	B_PP	N	N	N	N	N	N	N	N	N	Crystal, Cloud, Needle	36.50	16.50	40.60	43.00	50.00	75.00	3.50	Faceted
5	ROUND	1815410001	GIA	1217652509 L	11.01	G	VS2	14.23-14.34*8.67	60.70	59.00	STK	NON	EX	EX	EX	STG	EX	62500	40.99 	UPGRADED COLOR;	EX	CRL1	CRL1	N	N	N	N	N	N	N	N	N	N	N	Crystal, Feather	34.00	14.00	40.60	43.00	50.00	75.00	4.00	Faceted
6	ROUND	2815090122	GIA	6215409015 L	10.02	I	VS2	13.64-13.72*8.60	62.90	56.00	MED to STK	NON	EX	EX	EX	FNT	VG	41500	22.82 	UPGRADED COLOR;	EX	FR1	FR1	B_PP	B_PP	N	N	N	SM	HL	SM	N	N	N	Feather, Crystal, Needle, Indented Natural	36.50	16.50	40.60	43.00	50.00	75.00	3.50	Faceted
7	ROUND	3813760403	GIA	6212379864 L	10.02	K	VS2	13.98-14.05*8.37	59.70	59.00	MED	NON	EX	EX	EX	FNT	VG	26000	18.52 		EX	FR1	FR1	B_PP	N	N	N	N	N	N	N	N	N	N	Feather, Needle, Pinpoint	33.50	13.50	40.80	43.00	50.00	80.00	3.00	Faceted
8	ROUND	5815150945	GIA	6212478862 L	11.22	K	VS2	14.24-14.29*8.88	62.30	58.00	MED to STK	NON	EX	EX	EX	FNT	EX	26000	22.51 		EX	PP2	FR1	B 1	B_PP	N	N	N	N	N	N	N	N	N	Crystal, Feather, Cloud, Needle	36.00	15.50	41.00	43.50	50.00	75.00	3.50	Faceted
9	ROUND	1815150961	GIA	3215490493 L	15.15	U	VS2	15.68-15.77*9.88	62.80	56.00	MED	NON	EX	EX	EX	FNT	EX	16500	14.19 		EX	SPR1	FR1	B 1	N	N	N	N	HL	N	N	N	N	N	Crystal, Feather, Cloud, Needle	36.50	16.50	40.60	43.00	50.00	75.00	3.50	Faceted
10	ROUND	3813440023	GIA	2206677362 L	10.55	H	SI1	14.17-14.23*8.59	60.50	58.00	MED	NON	EX	EX	EX	MED	VG	37400	31.82 		EX	FR1	CRL1	B_PP	B_PP	N	N	HL	HL	N	N	N	N	N	Crystal, Feather, Needle	33.50	14.00	41.00	43.50	50.00	75.00	3.50	Faceted
